date,salesTotal,CustNum,kankou,day1_cast,day1_sales,day1_kankou,event_impact
2018-08-04,860890.0,393.0,7727.0,305.0,665290.0,6749.0,0.0
2018-08-05,969020.0,452.0,7210.0,393.0,860890.0,7727.0,0.0
2018-08-06,665270.0,284.0,6890.0,452.0,969020.0,7210.0,-3.59
2018-08-07,561530.0,238.0,7634.0,284.0,665270.0,6890.0,0.0
2018-08-08,795010.0,1137.0,7919.0,238.0,561530.0,7634.0,0.0
2018-08-09,624250.0,314.0,9906.0,1137.0,795010.0,7919.0,0.0
2018-08-10,766360.0,378.0,9631.0,314.0,624250.0,9906.0,0.0
2018-08-11,1153980.0,445.0,12501.0,378.0,766360.0,9631.0,0.0
2018-08-12,1487680.0,575.0,11722.0,445.0,1153980.0,12501.0,7.77
2018-08-13,1593490.0,625.0,11831.0,575.0,1487680.0,11722.0,7.77
2018-08-14,1498350.0,558.0,10251.0,625.0,1593490.0,11831.0,4.180000000000001
2018-08-15,1265310.0,550.0,8342.0,558.0,1498350.0,10251.0,0.0
2018-08-16,1097260.0,518.0,9952.0,550.0,1265310.0,8342.0,0.0
2018-08-17,1089100.0,534.0,10140.0,518.0,1097260.0,9952.0,0.0
2018-08-18,965830.0,449.0,7045.0,534.0,1089100.0,10140.0,0.0
2018-08-19,1004790.0,442.0,7872.0,449.0,965830.0,7045.0,0.0
2018-08-20,964350.0,442.0,7135.0,442.0,1004790.0,7872.0,-3.59
2018-08-21,809490.0,368.0,7499.0,442.0,964350.0,7135.0,0.0
2018-08-22,861730.0,380.0,6964.0,368.0,809490.0,7499.0,-3.59
2018-08-23,637800.0,253.0,5440.0,380.0,861730.0,6964.0,-3.59
2018-08-24,563370.0,263.0,5506.0,253.0,637800.0,5440.0,0.0
2018-08-25,881000.0,426.0,7444.0,263.0,563370.0,5506.0,0.0
2018-08-26,1005000.0,463.0,6906.0,426.0,881000.0,7444.0,0.0
2018-08-27,643240.0,317.0,7083.0,463.0,1005000.0,6906.0,-3.59
2018-08-28,626170.0,298.0,5186.0,317.0,643240.0,7083.0,0.0
2018-08-29,592490.0,308.0,3310.0,298.0,626170.0,5186.0,0.0
2018-08-30,683030.0,317.0,4576.0,308.0,592490.0,3310.0,0.0
2018-08-31,543170.0,266.0,4848.0,317.0,683030.0,4576.0,-3.59
2018-09-01,878860.0,385.0,3296.0,266.0,543170.0,4848.0,0.0
2018-09-02,876500.0,398.0,1266.0,385.0,878860.0,3296.0,-3.59
2018-09-03,600750.0,258.0,1060.0,398.0,876500.0,1266.0,-3.59
2018-09-04,633990.0,258.0,1108.0,258.0,600750.0,1060.0,0.0
2018-09-05,416230.0,187.0,2417.0,258.0,633990.0,1108.0,0.0
2018-09-06,420780.0,185.0,2731.0,187.0,416230.0,2417.0,0.0
2018-09-07,496230.0,240.0,2725.0,185.0,420780.0,2731.0,0.0
2018-09-08,791090.0,349.0,4772.0,240.0,496230.0,2725.0,0.0
2018-09-09,977120.0,430.0,3438.0,349.0,791090.0,4772.0,-3.59
2018-09-10,496520.0,202.0,3111.0,430.0,977120.0,3438.0,0.0
2018-09-11,639950.0,262.0,1614.0,202.0,496520.0,3111.0,0.0
2018-09-12,584140.0,256.0,1534.0,262.0,639950.0,1614.0,0.0
2018-09-13,609160.0,264.0,957.0,256.0,584140.0,1534.0,0.0
2018-09-14,545580.0,233.0,1255.0,264.0,609160.0,957.0,12.22
2018-09-15,1113980.0,490.0,3895.0,233.0,545580.0,1255.0,12.22
2018-09-16,1433090.0,609.0,2623.0,490.0,1113980.0,3895.0,12.22
2018-09-17,1167600.0,495.0,1299.0,609.0,1433090.0,2623.0,0.0
2018-09-18,643450.0,292.0,662.0,495.0,1167600.0,1299.0,0.0
2018-09-19,548380.0,234.0,707.0,292.0,643450.0,662.0,-3.59
2018-09-20,531070.0,211.0,1558.0,234.0,548380.0,707.0,-3.59
2018-09-21,446140.0,173.0,1481.0,211.0,531070.0,1558.0,12.22
2018-09-22,1029840.0,449.0,4521.0,173.0,446140.0,1481.0,12.22
2018-09-23,1602070.0,707.0,4009.0,449.0,1029840.0,4521.0,12.22
2018-09-24,1041870.0,438.0,1071.0,707.0,1602070.0,4009.0,0.0
2018-09-25,558740.0,230.0,2230.0,438.0,1041870.0,1071.0,0.0
2018-09-26,632550.0,245.0,2772.0,230.0,558740.0,2230.0,0.0
2018-09-27,361800.0,172.0,2994.0,245.0,632550.0,2772.0,0.0
2018-09-28,489270.0,209.0,2789.0,172.0,361800.0,2994.0,0.0
2018-09-29,601220.0,252.0,4871.0,209.0,489270.0,2789.0,-22.25
2018-09-30,113190.0,54.0,3968.0,252.0,601220.0,4871.0,0.0
2018-10-01,195090.0,79.0,1881.0,54.0,113190.0,3968.0,0.0
2018-10-02,318710.0,123.0,1772.0,79.0,195090.0,1881.0,0.0
2018-10-03,560590.0,262.0,2119.0,123.0,318710.0,1772.0,0.0
2018-10-04,414630.0,151.0,1853.0,262.0,560590.0,2119.0,0.0
2018-10-05,501140.0,189.0,2393.0,151.0,414630.0,1853.0,12.22
2018-10-06,921920.0,403.0,8672.0,189.0,501140.0,2393.0,12.22
2018-10-07,1425820.0,630.0,8715.0,403.0,921920.0,8672.0,12.22
2018-10-08,1162070.0,445.0,4054.0,630.0,1425820.0,8715.0,0.0
2018-10-09,589180.0,258.0,2571.0,445.0,1162070.0,4054.0,0.0
2018-10-10,601710.0,252.0,2666.0,258.0,589180.0,2571.0,-3.59
2018-10-11,302470.0,124.0,1889.0,252.0,601710.0,2666.0,0.0
2018-10-12,499730.0,214.0,1546.0,124.0,302470.0,1889.0,0.0
2018-10-13,1069180.0,409.0,3139.0,214.0,499730.0,1546.0,0.0
2018-10-14,1075300.0,454.0,2658.0,409.0,1069180.0,3139.0,0.0
2018-10-15,750500.0,305.0,1869.0,454.0,1075300.0,2658.0,0.0
2018-10-16,492560.0,222.0,2210.0,305.0,750500.0,1869.0,0.0
2018-10-17,552400.0,222.0,2093.0,222.0,492560.0,2210.0,0.0
2018-10-18,630820.0,262.0,2072.0,222.0,552400.0,2093.0,0.0
2018-10-19,443940.0,197.0,3239.0,262.0,630820.0,2072.0,0.0
2018-10-20,1021970.0,430.0,5573.0,197.0,443940.0,3239.0,0.0
2018-10-21,1080210.0,466.0,2824.0,430.0,1021970.0,5573.0,0.0
2018-10-22,706740.0,305.0,1657.0,466.0,1080210.0,2824.0,0.0
2018-10-23,689210.0,241.0,2141.0,305.0,706740.0,1657.0,0.0
2018-10-24,589860.0,233.0,2483.0,241.0,689210.0,2141.0,0.0
2018-10-25,698810.0,268.0,1740.0,233.0,589860.0,2483.0,0.0
2018-10-26,649920.0,264.0,4426.0,268.0,698810.0,1740.0,0.0
2018-10-27,1019400.0,418.0,8322.0,264.0,649920.0,4426.0,0.0
2018-10-28,1088540.0,448.0,6033.0,418.0,1019400.0,8322.0,0.0
2018-10-29,689590.0,313.0,3783.0,448.0,1088540.0,6033.0,0.0
2018-10-30,494110.0,226.0,3331.0,313.0,689590.0,3783.0,0.0
2018-10-31,392830.0,175.0,2120.0,226.0,494110.0,3331.0,0.0
2018-11-01,612000.0,261.0,2468.0,175.0,392830.0,2120.0,0.0
2018-11-02,613310.0,268.0,4417.0,261.0,612000.0,2468.0,0.0
2018-11-03,1281640.0,499.0,9681.0,268.0,613310.0,4417.0,0.0
2018-11-04,1214550.0,499.0,4737.0,499.0,1281640.0,9681.0,0.0
2018-11-05,688180.0,299.0,3026.0,499.0,1214550.0,4737.0,0.0
2018-11-06,443260.0,200.0,2507.0,299.0,688180.0,3026.0,0.0
2018-11-07,467200.0,196.0,1669.0,200.0,443260.0,2507.0,0.0
2018-11-08,552890.0,244.0,1255.0,196.0,467200.0,1669.0,-3.59
2018-11-09,356120.0,150.0,2594.0,244.0,552890.0,1255.0,0.0
2018-11-10,995090.0,448.0,6609.0,150.0,356120.0,2594.0,0.0
2018-11-11,1204480.0,500.0,4295.0,448.0,995090.0,6609.0,0.0
2018-11-12,777880.0,322.0,3050.0,500.0,1204480.0,4295.0,0.0
2018-11-13,591610.0,278.0,1893.0,322.0,777880.0,3050.0,0.0
2018-11-14,655270.0,273.0,2001.0,278.0,591610.0,1893.0,0.0
2018-11-15,540180.0,213.0,1586.0,273.0,655270.0,2001.0,0.0
2018-11-16,618410.0,268.0,2291.0,213.0,540180.0,1586.0,0.0
2018-11-17,1117460.0,471.0,8144.0,268.0,618410.0,2291.0,0.0
2018-11-18,1063930.0,465.0,5483.0,471.0,1117460.0,8144.0,0.0
2018-11-19,694030.0,285.0,2357.0,465.0,1063930.0,5483.0,0.0
2018-11-20,562750.0,239.0,1492.0,285.0,694030.0,2357.0,0.0
2018-11-21,493990.0,217.0,1531.0,239.0,562750.0,1492.0,0.0
2018-11-22,683340.0,280.0,2653.0,217.0,493990.0,1531.0,12.22
2018-11-23,1275780.0,537.0,9562.0,280.0,683340.0,2653.0,12.22
2018-11-24,1475780.0,612.0,10812.0,537.0,1275780.0,9562.0,12.22
2018-11-25,1082330.0,446.0,4908.0,612.0,1475780.0,10812.0,0.0
2018-11-26,618100.0,271.0,1471.0,446.0,1082330.0,4908.0,0.0
2018-11-27,566250.0,239.0,3220.0,271.0,618100.0,1471.0,0.0
2018-11-28,387550.0,169.0,2192.0,239.0,566250.0,3220.0,0.0
2018-11-29,426280.0,167.0,1608.0,169.0,387550.0,2192.0,0.0
2018-11-30,539120.0,238.0,2372.0,167.0,426280.0,1608.0,0.0
2018-12-01,927270.0,404.0,6643.0,238.0,539120.0,2372.0,0.0
2018-12-02,916690.0,396.0,3385.0,404.0,927270.0,6643.0,0.0
2018-12-03,508010.0,209.0,1794.0,396.0,916690.0,3385.0,0.0
2018-12-04,345770.0,175.0,1140.0,209.0,508010.0,1794.0,0.0
2018-12-05,468030.0,186.0,778.0,175.0,345770.0,1140.0,0.0
2018-12-06,325200.0,148.0,1068.0,186.0,468030.0,778.0,0.0
2018-12-07,625380.0,222.0,2081.0,148.0,325200.0,1068.0,0.0
2018-12-08,964440.0,416.0,5642.0,222.0,625380.0,2081.0,0.0
2018-12-09,1010410.0,412.0,2767.0,416.0,964440.0,5642.0,0.0
2018-12-10,575780.0,225.0,901.0,412.0,1010410.0,2767.0,0.0
2018-12-11,353230.0,151.0,704.0,225.0,575780.0,901.0,0.0
2018-12-12,585050.0,212.0,614.0,151.0,353230.0,704.0,0.0
2018-12-13,417350.0,189.0,804.0,212.0,585050.0,614.0,0.0
2018-12-14,372400.0,156.0,2169.0,189.0,417350.0,804.0,0.0
2018-12-15,902720.0,401.0,4003.0,156.0,372400.0,2169.0,0.0
2018-12-16,950100.0,395.0,2006.0,401.0,902720.0,4003.0,0.0
2018-12-17,603710.0,255.0,1116.0,395.0,950100.0,2006.0,0.0
2018-12-18,403760.0,173.0,1052.0,255.0,603710.0,1116.0,0.0
2018-12-19,413000.0,150.0,825.0,173.0,403760.0,1052.0,0.0
2018-12-20,496060.0,174.0,751.0,150.0,413000.0,825.0,0.0
2018-12-21,309700.0,141.0,1321.0,174.0,496060.0,751.0,0.0
2018-12-22,964480.0,394.0,8156.0,141.0,309700.0,1321.0,0.0
2018-12-23,1276020.0,520.0,7838.0,394.0,964480.0,8156.0,0.0
2018-12-24,943810.0,403.0,4137.0,520.0,1276020.0,7838.0,2.1600000000000006
2018-12-25,532060.0,232.0,3179.0,403.0,943810.0,4137.0,0.0
2018-12-26,615700.0,290.0,3466.0,232.0,532060.0,3179.0,0.0
2018-12-27,526850.0,200.0,4559.0,290.0,615700.0,3466.0,0.0
2018-12-28,760910.0,326.0,7281.0,200.0,526850.0,4559.0,0.0
2018-12-29,1082410.0,405.0,11415.0,326.0,760910.0,7281.0,0.0
2018-12-30,1533850.0,610.0,15118.0,405.0,1082410.0,11415.0,3.7200000000000006
2018-12-31,1301190.0,484.0,16018.0,610.0,1533850.0,15118.0,45.98000000000002
2019-01-01,2819600.0,999.0,12247.0,484.0,1301190.0,16018.0,0.0
2019-01-02,2661400.0,975.0,12184.0,999.0,2819600.0,12247.0,0.0
2019-01-03,2418500.0,891.0,13318.0,975.0,2661400.0,12184.0,0.0
2019-01-04,2230930.0,852.0,14000.0,891.0,2418500.0,13318.0,0.0
2019-01-05,1840660.0,672.0,8700.0,852.0,2230930.0,14000.0,0.0
2019-01-06,1380850.0,533.0,4144.0,672.0,1840660.0,8700.0,0.0
2019-01-07,874920.0,298.0,1041.0,533.0,1380850.0,4144.0,0.0
2019-01-08,670570.0,242.0,574.0,298.0,874920.0,1041.0,0.0
2019-01-09,686510.0,252.0,640.0,242.0,670570.0,574.0,0.0
2019-01-10,745630.0,235.0,594.0,252.0,686510.0,640.0,0.0
2019-01-11,775820.0,262.0,648.0,235.0,745630.0,594.0,12.22
2019-01-12,1177970.0,482.0,4444.0,262.0,775820.0,648.0,12.22
2019-01-13,1875210.0,692.0,4872.0,482.0,1177970.0,4444.0,12.22
2019-01-14,1195170.0,461.0,1919.0,692.0,1875210.0,4872.0,0.0
2019-01-15,665190.0,246.0,858.0,461.0,1195170.0,1919.0,0.0
2019-01-16,814000.0,323.0,1059.0,246.0,665190.0,858.0,0.0
2019-01-17,582750.0,251.0,876.0,323.0,814000.0,1059.0,0.0
2019-01-18,629410.0,273.0,1435.0,251.0,582750.0,876.0,0.0
2019-01-19,1175010.0,480.0,3155.0,273.0,629410.0,1435.0,0.0
2019-01-20,1279330.0,458.0,1812.0,480.0,1175010.0,3155.0,0.0
2019-01-21,845340.0,349.0,1068.0,458.0,1279330.0,1812.0,0.0
2019-01-22,869380.0,328.0,913.0,349.0,845340.0,1068.0,0.0
2019-01-23,765000.0,304.0,719.0,328.0,869380.0,913.0,0.0
2019-01-24,690950.0,272.0,655.0,304.0,765000.0,719.0,0.0
2019-01-25,743950.0,297.0,1145.0,272.0,690950.0,655.0,0.0
2019-01-26,1122450.0,435.0,3462.0,297.0,743950.0,1145.0,0.0
2019-01-27,1190500.0,466.0,2104.0,435.0,1122450.0,3462.0,0.0
2019-01-28,591920.0,244.0,1378.0,466.0,1190500.0,2104.0,0.0
2019-01-29,776750.0,283.0,1019.0,244.0,591920.0,1378.0,0.0
2019-01-30,535450.0,230.0,387.0,283.0,776750.0,1019.0,-3.59
2019-01-31,287150.0,105.0,394.0,230.0,535450.0,387.0,0.0
2019-02-01,382870.0,140.0,898.0,105.0,287150.0,394.0,0.0
2019-02-02,902500.0,352.0,3340.0,140.0,382870.0,898.0,0.0
